"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
124,"1","2025-08-29T09:50:29.221332Z","sms-00001","unclear",18.167,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","2025-08-29T09:50:29.221347Z"
125,"1","2025-08-29T09:50:36.690792Z","sms-00002","unclear",7.303,"Ok lar... Joking wif u oni...","2025-08-29T09:50:36.690809Z"
126,"1","2025-08-29T09:50:38.360296Z","sms-00003","spam",1.534,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's","2025-08-29T09:50:38.360317Z"
127,"1","2025-08-29T09:50:44.177843Z","sms-00004","unclear",5.676,"U dun say so early hor... U c already then say...","2025-08-29T09:50:44.177865Z"
128,"1","2025-08-29T09:50:49.451342Z","sms-00005","ham",5.072,"Nah I don't think he goes to usf, he lives around here though","2025-08-29T09:50:49.451357Z"
129,"1","2025-08-29T09:50:54.449293Z","sms-00006","spam",4.851,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","2025-08-29T09:50:54.449312Z"
130,"1","2025-08-29T09:50:56.191614Z","sms-00007","ham",1.59,"Even my brother is not like to speak with me. They treat me like aids patent.","2025-08-29T09:50:56.191640Z"
131,"1","2025-08-29T09:51:00.079546Z","sms-00008","spam",3.728,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune","2025-08-29T09:51:00.079562Z"
132,"1","2025-08-29T09:51:01.496402Z","sms-00009","spam",1.261,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.","2025-08-29T09:51:01.496425Z"
133,"1","2025-08-29T09:51:09.175422Z","sms-00010","spam",7.5,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030","2025-08-29T09:51:09.175439Z"
134,"1","2025-08-29T09:51:10.861854Z","sms-00011","ham",1.532,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","2025-08-29T09:51:10.861880Z"
135,"1","2025-08-29T09:51:13.672775Z","sms-00012","spam",2.664,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","2025-08-29T09:51:13.672799Z"
136,"1","2025-08-29T09:51:16.687123Z","sms-00013","spam",2.871,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","2025-08-29T09:51:16.687138Z"
137,"1","2025-08-29T09:51:19.820733Z","sms-00014","ham",2.973,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.","2025-08-29T09:51:19.820751Z"
138,"1","2025-08-29T09:51:21.162212Z","sms-00015","ham",1.189,"I HAVE A DATE ON SUNDAY WITH WILL!!","2025-08-29T09:51:21.162229Z"
139,"1","2025-08-29T09:51:22.812936Z","sms-00016","spam",1.495,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","2025-08-29T09:51:22.812955Z"
140,"1","2025-08-29T09:51:26.264723Z","sms-00017","ham",3.307,"Oh k...i'm watching here:)","2025-08-29T09:51:26.264744Z"
141,"1","2025-08-29T09:51:35.889369Z","sms-00018","ham",9.456,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.","2025-08-29T09:51:35.889389Z"
142,"1","2025-08-29T09:51:38.126767Z","sms-00019","ham",2.085,"Fine if thats the way u feel. Thats the way its gota b","2025-08-29T09:51:38.126784Z"
